DATE,PRCP,SNWD,SNOW,TMAX,TMIN
19260102,0.02,3,0.3,33,28
19260103,0,2,0,35,32
19260104,0.14,0,0,42,35
19260105,0,0,0,49,38
19260106,0,0,0,38,29
19260107,0.04,0,0.4,29,16
19260108,0,0,0,27,14
19260109,0.4,4,4.5,24,18
19260110,0,3,0,31,21
19260111,0.21,3,0.6,34,24
19260112,0.04,5,2.4,31,11
19260113,0,5,0,23,8
19260114,0.01,4,0.1,26,14
19260115,0.02,4,0.2,34,24
19260116,0,3,0,39,18
19260117,0.01,2,0,45,33
19260118,0.46,0,0,44,35
19260119,0.03,0,0,35,33
19260120,0,0,0,42,29
19260121,0.14,1,0.9,30,19
19260122,0.03,1,0.8,19,7
19260123,0,1,0,22,15
19260124,0.13,3,1.5,23,16
19260125,0.01,3,0.3,21,12
19260126,0.09,3,0.7,28,11
19260127,0.07,4,0.8,29,16
19260128,0.1,4,0.9,22,1
19260129,0.01,5,0.3,28,0
19260130,0,1,0,46,28
19260131,0.03,0,0,40,28
19260201,0.24,1,1,30,23
19260202,0.03,1,0.3,28,22
19260203,0.16,2,0.7,25,19
19260204,0.24,5,3.3,24,20
19260205,0,4,0,24,18
19260206,0,3,0,36,20
19260207,0.08,3,0.8,35,19
19260208,0,3,0,24,16
19260209,0.09,3,0.8,24,13
19260210,0.05,4,1,22,13
19260211,0.04,5,0.4,14,7
19260212,0,5,0,30,11
19260213,0,4,0,39,25
19260214,0.01,4,0,37,29
19260215,0,3,0,36,20
19260216,0,3,0,21,11
19260217,0,2,0,41,13
19260218,0.18,3,1.2,36,32
19260219,0.28,5,2,34,15
19260220,0.07,7,2.1,22,11
19260221,0.04,7,0.4,23,13
19260222,0.01,7,0.1,24,16
19260223,0.01,7,0.1,25,14
19260224,0,6,0,32,18
19260225,0.5,4,,45,27
19260226,0.2,5,1.3,38,21
19260227,0,5,0,21,13
19260228,0.05,5,0.5,36,12
19260301,0.05,3,0,44,36
19260302,0,3,0,37,20
19260303,0.12,4,0.7,20,13
19260304,0.01,4,0.8,17,10
19260305,0,4,0,13,7
19260306,0,2,0,37,7
19260307,0.39,3,2.5,40,29
19260308,0.05,3,0.2,29,19
19260309,0.01,3,0.8,27,15
19260310,0.02,3,0.2,29,20
19260311,0,3,0,27,19
19260312,0.15,5,2.5,24,17
19260313,0,4,0,20,10
19260314,0,4,0,27,11
19260315,0,3,0,33,22
19260316,0,3,0,29,21
19260317,0,3,0,33,14
19260318,0,2,0,38,31
19260319,0.02,1,0,48,28
19260320,0.12,1,0.3,45,29
19260321,0,0,0,46,27
19260322,0,0,0,57,31
19260323,0.37,0,0.1,47,32
19260324,0.04,0,0.4,38,32
19260325,0.05,0,0,47,32
19260326,0,0,0,33,28
19260327,0,0,0,29,22
19260328,0,0,0,30,21
19260329,0,0,0,38,19
19260330,0,0,0,39,28
19260331,0.68,0,0,40,33
19260401,0.07,0,0.5,39,29
19260402,0,0,0,35,28
19260403,0.44,0,0,47,31
19260404,0.02,0,0.1,41,29
19260405,0.19,0,0.6,37,28
19260406,0,0,0,40,26
19260407,0.55,0,0,44,33
19260408,0.83,0,0,37,32
19260409,0,0,0,49,33
19260410,0,0,0,54,30
19260411,0,0,0,48,27
19260412,0,0,0,35,25
19260413,0,0,0,58,27
19260414,0.05,0,0.1,64,25
19260415,0,0,0.2,35,20
19260416,0.06,0,0,45,30
19260417,0,0,0,37,28
19260418,0,0,0,38,26
19260419,0,0,0,31,25
19260420,0,0,0,47,24
19260421,0.03,0,0,64,45
19260422,0,0,0,70,54
19260423,0,0,0,62,45
19260424,0.41,0,0,73,44
19260425,0.12,0,0,51,34
19260426,0,0,0,38,33
19260427,0.01,0,0,52,31
19260428,0.13,0,0,53,39
19260429,0.09,0,0,50,35
19260430,0.12,0,0,51,40
19260501,0,0,0,63,35
19260502,0,0,0,83,53
19260503,0.12,0,0,69,31
19260504,0,0,0,48,30
19260505,0,0,0,57,35
19260506,0.03,0,0,68,50
19260507,0,0,0,70,50
19260508,0,0,0,62,45
19260509,0,0,0,56,38
19260510,0.08,0,0,48,39
19260511,0,0,0,55,39
19260512,0,0,0,62,42
19260513,0,0,0,65,42
19260514,0,0,0,60,45
19260515,0.16,0,0,62,47
19260516,0,0,0,68,43
19260517,0,0,0,79,46
19260518,0,0,0,71,57
19260519,0.54,0,0,67,47
19260520,0,0,0,55,42
19260521,0,0,0,75,44
19260522,0,0,0,68,42
19260523,0,0,0,55,39
19260524,0,0,0,64,39
19260525,0,0,0,63,44
19260526,0,0,0,65,43
19260527,0,0,0,58,46
19260528,0,0,0,63,42
19260529,0,0,0,69,50
19260530,0.31,0,0,77,57
19260531,0.39,0,0,76,62
19260601,0.38,0,0,73,59
19260602,0,0,0,70,43
19260603,0,0,0,54,41
19260604,0,0,0,64,42
19260605,0,0,0,63,49
19260606,0.01,0,0,73,49
19260607,0,0,0,68,53
19260608,0.01,0,0,71,55
19260609,0,0,0,70,53
19260610,0,0,0,73,54
19260611,0,0,0,76,50
19260612,0.07,0,0,67,56
19260613,0,0,0,76,54
19260614,1.4,0,0,62,50
19260615,0.68,0,0,60,47
19260616,0,0,0,68,48
19260617,0.06,0,0,75,57
19260618,0.03,0,0,74,51
19260619,0,0,0,62,47
19260620,0,0,0,63,44
19260621,0.01,0,0,83,53
19260622,0,0,0,71,59
19260623,0.02,0,0,77,54
19260624,0,0,0,74,53
19260625,0.42,0,0,78,56
19260626,0.05,0,0,75,54
19260627,0,0,0,71,51
19260628,0,0,0,81,54
19260629,0.04,0,0,87,66
19260630,0,0,0,72,58
19260701,0,0,0,76,55
19260702,0,0,0,87,62
19260703,0,0,0,79,63
19260704,0,0,0,76,62
19260705,0,0,0,79,60
19260706,0,0,0,83,65
19260707,0,0,0,77,61
19260708,0,0,0,87,61
19260709,0.14,0,0,91,72
19260710,0.58,0,0,84,60
19260711,0,0,0,71,58
19260712,0.02,0,0,74,55
19260713,0.09,0,0,63,50
19260714,0,0,0,71,48
19260715,0,0,0,74,50
19260716,0,0,0,78,52
19260717,0.01,0,0,85,62
19260718,0,0,0,79,65
19260719,0.05,0,0,81,58
19260720,0.15,0,0,92,66
19260721,0,0,0,92,76
19260722,0.12,0,0,87,66
19260723,0,0,0,77,63
19260724,0,0,0,79,60
19260725,0,0,0,72,61
19260726,0,0,0,77,55
19260727,0.02,0,0,80,62
19260728,1.21,0,0,68,61
19260729,0,0,0,74,63
19260730,0,0,0,77,63
19260731,0,0,0,79,62
19260801,0.01,0,0,83,68
19260802,0.73,0,0,88,71
