peak_dt,peak_tm
19260410,22800
19270124,22400
19271202,29600
19290423,23800
19300116,19200
19310330,17300
19320511,19400
19330316,19900
19340305,22300
19350123,22700
19360328,27700
19370423,20200
19380307,19000
19390223,19000
19400402,33500
19410407,22700
19420319,34400
19430101,25400
19440317,18900
19450305,24700
19451002,19200
19470408,23800
19480323,21600
19490216,16400
19500330,33100
19510222,20200
19520312,17700
19530325,17100
19540217,17500
19550302,19100
19560308,24300
19570408,17000
19580407,14900
19590402,17700
19600331,25800
19610426,15400
19620408,11900
19630318,21500
19640315,16600
19650214,19300
19660305,13900
19670331,11200
19680628,12500
19690419,16600
19700404,13400
19710227,17800
19720625,29600
19730318,18000
19740402,15300
19750225,18000
19760305,22400
19770919,17500
19771219,17100
19790306,21700
19800324,24300
19810220,20300
19820315,23200
19830507,13800
19840425,28200
19850225,19400
19860221,18200
19870405,16300
19880404,18000
19890511,20000
19900405,17800
19910304,18400
19920504,11500
19930402,21000
19940413,14900
19950121,12500
19960414,17300
19970327,12800
19980110,22100
19990319,12300
20000409,11800
20010408,12700
20020514,10900
20030322,14100
20040525,14200
20050404,18400
20060314,10600
20070316,16700
20080207,12200
20090213,15900
20100324,12300
20110313,12000
20120128,8100
20130413,11700
20131223,13700
20150318,10800
